"video_title";"video_id"
"How-to-build-a-kitchen";"isu7eUKyHbA"
"How-to-find-friends";"nm7OMGjbCgc"
"How-to-Dry-Flowers";"lLgpgD_xZzU"
"How-to-feel-love-again";"MZZf2BqEVQE"
"How-to-Make-a-Peanut-Butter-and-Jelly-Sandwich";"-hCYXJHYCW8"
"How-to-Create-a-Digital-Vision-Board";"iKuFQ0-LBgk"
"How-to-Set-Up-a-YouTube-Banner";"P8cLMhEjX9k"
"How-to-cook-spicy-food";"r88HR0DGd2E"
"How-to-Use-a-Fitness-Tracker";"oBQqVa3XO00"
"How-to-fell-a-tree";"3mTd8ZTG_cc"
"How-to-Iron-a-Shirt";"MSr04jhuTes"
"How-to-Change-a-Bike-Chain";"rWchudX-Tqs"
"How-to-Do-Your-Own-Nails";"KXbiy4afrog"
"How-to-Make-Lavender-Water";"VW56K1Ywubk"
"How-to-find-good-salmon";"fICWdtRgFFw"
"How-to-Cook-Eggs";"J5_HmfZyhKo"
"How-to-Plan-a-Road-Trip";"ZMtirywlZjU"
"How-to-do-CAD";"KhYDvfu95z4"
"How-to-Tie-Dye-a-Shirt";"XBadLUHLe6E"
"How-to-start-a-food-diary";"VN0ya6Gf-aI"
"How-to-build-strength-in-arms";"WvlDMlMx1Ok"
"How-to-learn-a-new-skill";"0eItWeZFVHo"
"How-to-organize-your-project-files";"gI0eR61cKug"
"How-to-Figure-Out-Your-CBD-Dosage";"ov8VRH-UIik"
"How-to-Write-a-LinkedIn-Bio";"5hNsdH6Y2Mg"
"How-to-install-a-oven";"IgoPODb66Pk"
"How-to-play-Rust";"fPk-fyP9MFM"
"How-to-Play-the-Drinking-Game-King's-Cup";"6l9Ps7ipsNc"
"How-to-Cook-Acorn-Squash";"8x046e8Fsjg"
"How-to-clean-an-aquarium";"4pBc2P8C8-s"
"How-to-change-tires";"314HE4aMG-g"
"How-to-Get-Out-of-Debt";"w4Kbq0VJEhY"
"How-to-Prepare-Lima-Beans";"949cFuHwIpI"
"How-to-Prune-Tomatoes";"q4IUhZMA9O0"
"How-to-Make-Kraft-Macaroni-and-Cheese";"g2IPJZar1O8"
"How-to-Make-a-Wooden-Sign";"b6WlGfVokUI"
"How-to-Seal-Granite-Countertops";"ffUcD0erfLs"
"How-to-make-your-own-nut-butter";"X81uBYe4uac"
"How-to-use-a-whisk";"2WcvoVHgKos"
"How-to-Do-a-Water-Fast-Safely";"Qa2CamgqXE4"
"How-to-Make-Origami";"GC_Szxdqh2Y"
"How-to-Clean-Copper-Mugs";"pnb6KyGnE1c"
"How-to-find-mushrooms-in-a-forrest";"xoptBgrLlg0"
"How-to-Put-Fake-Blood-on-a-Shirt";"K2bYg1nZEsE"
"How-to-journal-for-self-discovery";"4aPEJBRA8AA"
"How-to-Throw-a-Curveball";"YjPIjQwFBWI"
"How-to-Know-if-Your-Cat-Is-Sick";"rR6aXt-bRGs"
"How-to-buy-Marijuana";"5cBla_Jq4uA"
"How-to-Paint-a-Wall";"bLbUIevOxzY"
"How-to-Reduce-Your-Greenhouse-Gas-Emissions";"xe3U3D0UIGs"
"How-to-steam-your-face";"T79cLIUFzhE"
"How-to-Make-Flavored-Maple-Syrup";"RNJNR8Zkms8"
"How-to-set-goals-that-stick";"fXyRprdoEoE"
"How-to-Make-Black";"YWFx67lGfNY"
"How-to-prepare-a-guest-bedroom";"fxuC0zH-KO0"
"How-to-Suspend-an-Object-in-Jello";"GHbukUeCN20"
"How-to-Make-Carbonara";"D_2DBLAt57c"
"How-to-be-a-vegan";"OJxMsypwnqg"
"How-to-grow-succulents-from-cuttings";"6gJFYC094pY"
"How-to-Make-Peach-Puree";"LWt2LPFMuik"
"How-to-build-a-personal-brand";"5pAQcC9YniM"
"How-to-Make-CBD-Oil-Gummies";"Ul6CxpcrWLk"
"How-to-Get-Super-Glue-Off-Skin";"RS3ZwDi8oUE"
"How-to-Remove-Rust-and-Corrosion";"knAv9q0gIQM"
"How-to-Make-Bingo-Cards";"4CxcBqD2n-I"
"How-to-repair-a-cracked-screen";"Teqi5uRXaas"
"How-to-clean-a-coffee-grinder";"0YxTmr-qVwM"
"How-to-Get-Fit";"k6Qp78Hh5DI"
"How-to-plan-your-content-with-a-calendar";"rl9ZtPKEdRg"
"How-to-repair-a-garden-hose";"aOmnHQMBEW4"
"How-to-Make-Hibiscus-Tea";"TTk89sxaWKI"
"How-to-Play-Trash";"0_-yrtMfatY"
"How-to-Create-a-Daily-Schedule";"TieJ7FChhrk"
"How-to-Make-a-DIY-Photo-Frame";"pYapIIF0FtU"
"How-to-customize-your-digital-wallpaper";"RSqzuG3iw_c"
"How-to-Play-Pitch";"Rjhi-eSMxL8"
"How-to-Organize-a-Closet";"a-TFbunklsQ"
"How-to-Cut-Wine-Bottles-for-Crafts";"WxKZ8hhcmvg"
"How-to-Freeze-Spinach";"9kzZP3wAv2A"
"How-to-Use-a-3D-Printer";"m12bX1eEVDM"
"How-to-use-a-Paint-Brush";"6noW8bBBh6I"
"How-to-choose-origami-paper";"4lZ2BiPgrYc"
